Country,ISO3 Code,Datetime,Price (EUR/MWhe)
Sweden,SWE,1/1/2025 0:00,2.69
Sweden,SWE,1/1/2025 1:00,2.63
Sweden,SWE,1/1/2025 2:00,2.19
Sweden,SWE,1/1/2025 3:00,2.04
Sweden,SWE,1/1/2025 4:00,2.9
Sweden,SWE,1/1/2025 5:00,2.06
Sweden,SWE,1/1/2025 6:00,2.32
Sweden,SWE,1/1/2025 7:00,3.2
Sweden,SWE,1/1/2025 8:00,3.55
Sweden,SWE,1/1/2025 9:00,4.58
Sweden,SWE,1/1/2025 10:00,4.7
Sweden,SWE,1/1/2025 11:00,4.7
Sweden,SWE,1/1/2025 12:00,4.76
Sweden,SWE,1/1/2025 13:00,6.17
Sweden,SWE,1/1/2025 14:00,12.21
Sweden,SWE,1/1/2025 15:00,18.61
Sweden,SWE,1/1/2025 16:00,20.33
Sweden,SWE,1/1/2025 17:00,16.02
Sweden,SWE,1/1/2025 18:00,9.95
Sweden,SWE,1/1/2025 19:00,8.09
Sweden,SWE,1/1/2025 20:00,6.93
Sweden,SWE,1/1/2025 21:00,9.55
Sweden,SWE,1/1/2025 22:00,7.05
Sweden,SWE,1/1/2025 23:00,3.63
Sweden,SWE,1/2/2025 0:00,3.46
Sweden,SWE,1/2/2025 1:00,4.18
Sweden,SWE,1/2/2025 2:00,6.63
Sweden,SWE,1/2/2025 3:00,9.98
Sweden,SWE,1/2/2025 4:00,16.01
Sweden,SWE,1/2/2025 5:00,33.03
Sweden,SWE,1/2/2025 6:00,76.87
Sweden,SWE,1/2/2025 7:00,97.09
Sweden,SWE,1/2/2025 8:00,101.03
Sweden,SWE,1/2/2025 9:00,100.4
Sweden,SWE,1/2/2025 10:00,88.99
Sweden,SWE,1/2/2025 11:00,80.99
Sweden,SWE,1/2/2025 12:00,85.71
Sweden,SWE,1/2/2025 13:00,91.36
Sweden,SWE,1/2/2025 14:00,103.27
Sweden,SWE,1/2/2025 15:00,108.12
Sweden,SWE,1/2/2025 16:00,118.6
Sweden,SWE,1/2/2025 17:00,117.57
Sweden,SWE,1/2/2025 18:00,87.62
Sweden,SWE,1/2/2025 19:00,83.9
Sweden,SWE,1/2/2025 20:00,62.6
Sweden,SWE,1/2/2025 21:00,50.85
Sweden,SWE,1/2/2025 22:00,40.69
Sweden,SWE,1/2/2025 23:00,35.45
Sweden,SWE,1/3/2025 0:00,32.16
Sweden,SWE,1/3/2025 1:00,29.56
Sweden,SWE,1/3/2025 2:00,28.41
Sweden,SWE,1/3/2025 3:00,26.52
Sweden,SWE,1/3/2025 4:00,27.43
Sweden,SWE,1/3/2025 5:00,33.9
Sweden,SWE,1/3/2025 6:00,45.63
Sweden,SWE,1/3/2025 7:00,68.82
Sweden,SWE,1/3/2025 8:00,69.3
Sweden,SWE,1/3/2025 9:00,64.73
Sweden,SWE,1/3/2025 10:00,59.49
Sweden,SWE,1/3/2025 11:00,47.42
Sweden,SWE,1/3/2025 12:00,46.01
Sweden,SWE,1/3/2025 13:00,46.4
Sweden,SWE,1/3/2025 14:00,63.31
Sweden,SWE,1/3/2025 15:00,84.4
Sweden,SWE,1/3/2025 16:00,88.91
Sweden,SWE,1/3/2025 17:00,89.84
Sweden,SWE,1/3/2025 18:00,82.33
Sweden,SWE,1/3/2025 19:00,68.93
Sweden,SWE,1/3/2025 20:00,66.67
Sweden,SWE,1/3/2025 21:00,56.32
Sweden,SWE,1/3/2025 22:00,57.32
Sweden,SWE,1/3/2025 23:00,42.64
Sweden,SWE,1/4/2025 0:00,39.91
Sweden,SWE,1/4/2025 1:00,36.81
Sweden,SWE,1/4/2025 2:00,36.99
Sweden,SWE,1/4/2025 3:00,36.09
Sweden,SWE,1/4/2025 4:00,36.52
Sweden,SWE,1/4/2025 5:00,48.51
Sweden,SWE,1/4/2025 6:00,69.97
Sweden,SWE,1/4/2025 7:00,81.73
Sweden,SWE,1/4/2025 8:00,85.88
Sweden,SWE,1/4/2025 9:00,85.82
Sweden,SWE,1/4/2025 10:00,85.36
Sweden,SWE,1/4/2025 11:00,82.68
Sweden,SWE,1/4/2025 12:00,63.43
Sweden,SWE,1/4/2025 13:00,91
Sweden,SWE,1/4/2025 14:00,111.44
Sweden,SWE,1/4/2025 15:00,118.67
Sweden,SWE,1/4/2025 16:00,123.06
Sweden,SWE,1/4/2025 17:00,118.23
Sweden,SWE,1/4/2025 18:00,111.74
Sweden,SWE,1/4/2025 19:00,97.5
Sweden,SWE,1/4/2025 20:00,94.52
Sweden,SWE,1/4/2025 21:00,61.64
Sweden,SWE,1/4/2025 22:00,51.57
Sweden,SWE,1/4/2025 23:00,46.97
Sweden,SWE,1/5/2025 0:00,47.73
Sweden,SWE,1/5/2025 1:00,48.55
Sweden,SWE,1/5/2025 2:00,49.71
Sweden,SWE,1/5/2025 3:00,56.43
Sweden,SWE,1/5/2025 4:00,57.41
Sweden,SWE,1/5/2025 5:00,68.83
Sweden,SWE,1/5/2025 6:00,69.52
Sweden,SWE,1/5/2025 7:00,72.33
Sweden,SWE,1/5/2025 8:00,76.63
Sweden,SWE,1/5/2025 9:00,72.17
Sweden,SWE,1/5/2025 10:00,75.94
Sweden,SWE,1/5/2025 11:00,70.13
Sweden,SWE,1/5/2025 12:00,67.11
Sweden,SWE,1/5/2025 13:00,59.34
Sweden,SWE,1/5/2025 14:00,47.24
Sweden,SWE,1/5/2025 15:00,51.87
Sweden,SWE,1/5/2025 16:00,67.4
Sweden,SWE,1/5/2025 17:00,64.81
Sweden,SWE,1/5/2025 18:00,51.79
Sweden,SWE,1/5/2025 19:00,37.02
Sweden,SWE,1/5/2025 20:00,37.34
Sweden,SWE,1/5/2025 21:00,34.94
Sweden,SWE,1/5/2025 22:00,27.48
Sweden,SWE,1/5/2025 23:00,26.73
Sweden,SWE,1/6/2025 0:00,23.03
Sweden,SWE,1/6/2025 1:00,19.26
Sweden,SWE,1/6/2025 2:00,16.65
Sweden,SWE,1/6/2025 3:00,15.5
Sweden,SWE,1/6/2025 4:00,14.96
Sweden,SWE,1/6/2025 5:00,24.2
Sweden,SWE,1/6/2025 6:00,29.56
Sweden,SWE,1/6/2025 7:00,37.1
Sweden,SWE,1/6/2025 8:00,34.75
Sweden,SWE,1/6/2025 9:00,33.98
Sweden,SWE,1/6/2025 10:00,32.18
Sweden,SWE,1/6/2025 11:00,30.25
Sweden,SWE,1/6/2025 12:00,27.77
Sweden,SWE,1/6/2025 13:00,24.28
Sweden,SWE,1/6/2025 14:00,25.08
Sweden,SWE,1/6/2025 15:00,25.66
Sweden,SWE,1/6/2025 16:00,29.26
Sweden,SWE,1/6/2025 17:00,27.82
Sweden,SWE,1/6/2025 18:00,24.53
Sweden,SWE,1/6/2025 19:00,21.22
Sweden,SWE,1/6/2025 20:00,12.42
Sweden,SWE,1/6/2025 21:00,13.87
Sweden,SWE,1/6/2025 22:00,8.01
Sweden,SWE,1/6/2025 23:00,9.8
Sweden,SWE,1/7/2025 0:00,6.94
Sweden,SWE,1/7/2025 1:00,5.48
Sweden,SWE,1/7/2025 2:00,4.46
Sweden,SWE,1/7/2025 3:00,5.13
Sweden,SWE,1/7/2025 4:00,5.73
Sweden,SWE,1/7/2025 5:00,22.57
Sweden,SWE,1/7/2025 6:00,28.77
Sweden,SWE,1/7/2025 7:00,30.42
Sweden,SWE,1/7/2025 8:00,29.05
Sweden,SWE,1/7/2025 9:00,28.35
Sweden,SWE,1/7/2025 10:00,28.55
Sweden,SWE,1/7/2025 11:00,27.97
Sweden,SWE,1/7/2025 12:00,27.77
Sweden,SWE,1/7/2025 13:00,26.62
Sweden,SWE,1/7/2025 14:00,27.42
Sweden,SWE,1/7/2025 15:00,25.52
Sweden,SWE,1/7/2025 16:00,25.81
Sweden,SWE,1/7/2025 17:00,24
Sweden,SWE,1/7/2025 18:00,19.61
Sweden,SWE,1/7/2025 19:00,14.26
Sweden,SWE,1/7/2025 20:00,6.12
Sweden,SWE,1/7/2025 21:00,4.95
Sweden,SWE,1/7/2025 22:00,4.1
Sweden,SWE,1/7/2025 23:00,8.79
Sweden,SWE,1/8/2025 0:00,9.06
Sweden,SWE,1/8/2025 1:00,12.08
Sweden,SWE,1/8/2025 2:00,11.61
Sweden,SWE,1/8/2025 3:00,13.68
Sweden,SWE,1/8/2025 4:00,15.97
Sweden,SWE,1/8/2025 5:00,17.98
Sweden,SWE,1/8/2025 6:00,33.66
Sweden,SWE,1/8/2025 7:00,44.8
Sweden,SWE,1/8/2025 8:00,51.82
Sweden,SWE,1/8/2025 9:00,55.42
Sweden,SWE,1/8/2025 10:00,58.05
Sweden,SWE,1/8/2025 11:00,56.9
Sweden,SWE,1/8/2025 12:00,60.8
Sweden,SWE,1/8/2025 13:00,65.36
Sweden,SWE,1/8/2025 14:00,84.31
Sweden,SWE,1/8/2025 15:00,105.16
Sweden,SWE,1/8/2025 16:00,117.38
Sweden,SWE,1/8/2025 17:00,110.27
Sweden,SWE,1/8/2025 18:00,108.36
Sweden,SWE,1/8/2025 19:00,83.78
