hour_index,datetime, global_horizontal_irradiance , direct_normal_irradiance , diffuse_horizontal_irradiance , dry_bulb_temperature , windspeed , albedo , solar_altitude_angle , solar_azimuth_angle , solar_incident_angle , horizon_elevation_angle , tracker_roll_angle , adjusted_ghi , poa_direct_irradiance , poa_diffuse_irradiance , poa_reflected_irradiance , shaded_direct_irradiance , shaded_diffuse_irradiance , shaded_reflected_irradiance , effective_direct_irradiance , effective_diffuse_irradiance , effective_reflected_irradiance , soiled_irradiance , total_irradiance , nameplate_power , avg_cell_temp , module_irradiance_derated_power , module_mpp_power , module_power , optimizer_input_power , optimizer_output_power , optimal_dc_power , optimal_dc_voltage , inverter_overpower_loss , inverter_underpower_loss , inverter_overvoltage_loss , inverter_undervoltage_loss , actual_dc_power , actual_dc_voltage ,ac_power ,pv_kw 
1,1/1/2025 0:00, -   ,, -   ,2.12,3.16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,1/1/2025 1:00, -   ,, -   ,2.01,2.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,1/1/2025 2:00, -   ,, -   ,1.81,2.68,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1/1/2025 3:00, -   ,, -   ,1.69,2.85,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1/1/2025 4:00, -   ,, -   ,1.58,2.84,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,1/1/2025 5:00, -   ,, -   ,1.47,2.94,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,1/1/2025 6:00, -   ,, -   ,1.39,2.82,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,1/1/2025 7:00, -   ,, -   ,1.32,3.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,1/1/2025 8:00,0.13,,0.13,1.37,3.22,0.2,-1.24,133.56,87.22, -   ,,0.13, -   ,0.14,0, -   ,0.14, -   , -   ,0.13, -   ,0.13,0.13,106.99,1.37,1.72,1.68,1.68, -   , -   ,1.68,13.69, -   , -   , -   ,1.68, -   ,150, -   ,0
10,1/1/2025 9:00,16.83,,16.83,1.74,4.17,0.2,3.97,146.35,85.53, -   ,,16.83, -   ,16.49,0.03, -   ,16.49,0, -   ,15.74,0,15.43,15.43,"12,952.47",2.11,"10,098.28","10,933.67","10,574.15", -   , -   ,"10,572.98",446.93, -   , -   , -   , -   ,"10,572.98",446.93,"10,045.27",9.995
11,1/1/2025 10:00,30.55,,30.37,2.14,4.03,0.2,7.65,159.72,82.46, -   ,,30.55,0.18,29.71,0.05,0.18,29.71,0,0.12,28.37,0,27.93,27.93,"23,441.19",2.81,"19,936.04","21,616.59","20,852.79", -   , -   ,"20,848.53",461.25, -   , -   , -   , -   ,"20,848.53",461.25,"19,863.78",19.765
