datetime,temperature_degC,base_load_kW,hvac_heating_kW,hvac_cooling_kW,equipment_kW,shore_power_kW,load_kw,ghi_W_m2,total_load_kWh
1/1/2025 0:00,-7.7,222.5104262,68.88,0,112,0,403.3904262,0,403.3904262
1/1/2025 1:00,-8,222.5104262,69.6,0,112,0,404.1104262,0,404.1104262
1/1/2025 2:00,-8.2,222.5104262,70.08,0,112,0,404.5904262,0,404.5904262
1/1/2025 3:00,-8.3,222.5104262,70.32,0,112,0,404.8304262,0,404.8304262
1/1/2025 4:00,-8.7,222.5104262,71.28,0,112,0,405.7904262,0,405.7904262
1/1/2025 5:00,-7.5,222.5104262,68.4,0,112,0,402.9104262,0,402.9104262
1/1/2025 6:00,-7.4,222.5104262,113.6,0,112,0,448.1104262,0,448.1104262
1/1/2025 7:00,-6.8,222.5104262,111.2,0,112,0,445.7104262,0,445.7104262
1/1/2025 8:00,-5.5,222.5104262,106,0,112,0,440.5104262,0,440.5104262
1/1/2025 9:00,-4.3,222.5104262,101.2,0,112,0,435.7104262,0,435.7104262
1/1/2025 10:00,-3,222.5104262,96,0,112,0,430.5104262,14,430.5104262
1/1/2025 11:00,1.1,222.5104262,79.6,0,112,0,414.1104262,22,414.1104262
1/1/2025 12:00,1.4,222.5104262,78.4,0,112,0,412.9104262,21,412.9104262
1/1/2025 13:00,1,222.5104262,80,0,112,0,414.5104262,12,414.5104262
1/1/2025 14:00,1.2,222.5104262,79.2,0,112,0,413.7104262,6,413.7104262
1/1/2025 15:00,1.7,222.5104262,77.2,0,112,0,411.7104262,3,411.7104262
1/1/2025 16:00,1.9,222.5104262,76.4,0,112,0,410.9104262,0,410.9104262
1/1/2025 17:00,2.2,222.5104262,75.2,0,112,0,409.7104262,0,409.7104262
1/1/2025 18:00,2.5,222.5104262,74,0,112,0,408.5104262,0,408.5104262
1/1/2025 19:00,2.7,222.5104262,73.2,0,112,0,407.7104262,0,407.7104262
1/1/2025 20:00,2.7,222.5104262,73.2,0,112,0,407.7104262,0,407.7104262
1/1/2025 21:00,3.4,222.5104262,70.4,0,112,0,404.9104262,0,404.9104262
1/1/2025 22:00,3.8,222.5104262,41.28,0,112,0,375.7904262,0,375.7904262
1/1/2025 23:00,3.2,222.5104262,42.72,0,112,0,377.2304262,0,377.2304262
1/2/2025 0:00,3.4,333.7656393,84.48,0,144,0,562.2456393,0,562.2456393
1/2/2025 1:00,3.7,333.7656393,83.04,0,144,0,560.8056393,0,560.8056393
1/2/2025 2:00,3.9,333.7656393,82.08,0,144,0,559.8456393,0,559.8456393
1/2/2025 3:00,3.9,333.7656393,82.08,0,144,0,559.8456393,0,559.8456393
1/2/2025 4:00,3,333.7656393,86.4,0,144,0,564.1656393,0,564.1656393
1/2/2025 5:00,3.6,333.7656393,83.52,0,144,0,561.2856393,0,561.2856393
1/2/2025 6:00,4.1,511.7739803,135.2,0,334,0,980.9739803,0,980.9739803
1/2/2025 7:00,4.1,511.7739803,135.2,0,334,0,980.9739803,0,980.9739803
1/2/2025 8:00,4.4,511.7739803,132.8,0,334,0,978.5739803,0,978.5739803
1/2/2025 9:00,4.4,511.7739803,132.8,0,334,0,978.5739803,0,978.5739803
1/2/2025 10:00,4.4,511.7739803,132.8,0,334,0,978.5739803,12,978.5739803
1/2/2025 11:00,3.9,511.7739803,136.8,0,334,0,982.5739803,33,982.5739803
1/2/2025 12:00,4.3,511.7739803,133.6,0,334,0,979.3739803,60,979.3739803
1/2/2025 13:00,5.2,511.7739803,126.4,0,334,0,972.1739803,64,972.1739803
1/2/2025 14:00,5.7,511.7739803,122.4,0,334,0,968.1739803,42,968.1739803
1/2/2025 15:00,5.2,511.7739803,126.4,0,334,0,972.1739803,14,972.1739803
1/2/2025 16:00,4.4,511.7739803,132.8,0,334,0,978.5739803,0,978.5739803
1/2/2025 17:00,4.1,511.7739803,135.2,0,334,0,980.9739803,0,980.9739803
1/2/2025 18:00,3.5,511.7739803,140,0,334,0,985.7739803,0,985.7739803
1/2/2025 19:00,2.8,511.7739803,145.6,0,334,0,991.3739803,0,991.3739803
1/2/2025 20:00,3.2,511.7739803,142.4,0,334,0,988.1739803,0,988.1739803
