datetime,pv_kw,load_kw,price,month,hour,weekday,doy,P_c_kw,P_d_kw,soc_kwh,soc_pct,P_imp_kw,P_exp_kw,net_load_kw,u
2025-01-01 00:00:00,0.0000,403.3904,0.0027,1,0,2,1,0.0000,403.3904,447.1336,25.9058,0.0000,0.0000,403.3904,0
2025-01-01 01:00:00,0.0000,404.1104,0.0026,1,1,2,1,0.0000,266.2976,172.6000,10.0000,137.8129,0.0000,404.1104,0
2025-01-01 02:00:00,0.0000,404.5904,0.0022,1,2,2,1,626.7640,0.0000,780.5611,45.2237,1031.3544,0.0000,404.5904,1
2025-01-01 03:00:00,0.0000,404.8304,0.0020,1,3,2,1,657.5346,0.0000,1418.3697,82.1767,1062.3651,0.0000,404.8304,1
2025-01-01 04:00:00,0.0000,405.7904,0.0029,1,4,2,1,0.0000,405.7904,1000.0290,57.9391,0.0000,0.0000,405.7904,0
2025-01-01 05:00:00,0.0000,402.9104,0.0021,1,5,2,1,659.4546,0.0000,1639.7000,95.0000,1062.3651,0.0000,402.9104,1
2025-01-01 06:00:00,0.0000,448.1104,0.0023,1,6,2,1,0.0000,0.0000,1639.7000,95.0000,448.1104,0.0000,448.1104,1
2025-01-01 07:00:00,0.0000,445.7104,0.0032,1,7,2,1,0.0000,0.0000,1639.7000,95.0000,445.7104,0.0000,445.7104,1
2025-01-01 08:00:00,0.0000,440.5104,0.0035,1,8,2,1,0.0000,0.0000,1639.7000,95.0000,440.5104,0.0000,440.5104,1
2025-01-01 09:00:00,9.9950,435.7104,0.0046,1,9,2,1,0.0000,0.0000,1639.7000,95.0000,425.7154,0.0000,425.7154,1
2025-01-01 10:00:00,19.7650,430.5104,0.0047,1,10,2,1,0.0000,0.0000,1639.7000,95.0000,410.7454,0.0000,410.7454,1
2025-01-01 11:00:00,34.3340,414.1104,0.0047,1,11,2,1,0.0000,0.0000,1639.7000,95.0000,379.7764,0.0000,379.7764,1
2025-01-01 12:00:00,34.1960,412.9104,0.0048,1,12,2,1,0.0000,0.0000,1639.7000,95.0000,378.7144,0.0000,378.7144,1
2025-01-01 13:00:00,29.0300,414.5104,0.0062,1,13,2,1,0.0000,0.0000,1639.7000,95.0000,385.4804,0.0000,385.4804,1
2025-01-01 14:00:00,9.1520,413.7104,0.0122,1,14,2,1,0.0000,190.7557,1443.0446,83.6063,213.8027,0.0000,404.5584,0
2025-01-01 15:00:00,0.0000,411.7104,0.0186,1,15,2,1,0.0000,411.7104,1018.6009,59.0151,0.0000,0.0000,411.7104,0
2025-01-01 16:00:00,0.0000,410.9104,0.0203,1,16,2,1,0.0000,410.9104,594.9819,34.4717,0.0000,0.0000,410.9104,0
2025-01-01 17:00:00,0.0000,409.7104,0.0160,1,17,2,1,0.0000,409.7104,172.6000,10.0000,0.0000,0.0000,409.7104,0
